Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
HTTP Request get by id 801,11,1399,930,2034,395.29,0.000%,3.94548,1.81,0.51,471.0
HTTP Request get by id 819,10,1366,961,2014,345.38,0.000%,3.47705,1.61,0.45,474.0
HTTP Request get by id 803,11,1384,896,2042,406.37,45.455%,3.91181,1.67,0.50,437.5
HTTP Request get by id 806,11,1392,943,2042,381.23,0.000%,3.80360,1.76,0.49,473.0
HTTP Request get by id 818,10,1348,832,2024,379.27,40.000%,3.84025,1.66,0.50,442.4
HTTP Request get by id 800,10,1366,952,2074,361.30,0.000%,3.45662,1.60,0.45,474.0
HTTP Request get by id 815,10,1374,953,2093,373.12,0.000%,3.78788,1.74,0.49,471.0
HTTP Request get by id 814,10,1353,874,2074,401.53,50.000%,3.92311,1.66,0.51,434.0
HTTP Request get by id 808,11,1375,986,2030,370.19,0.000%,3.80360,1.75,0.49,472.0
HTTP Request get by id 805,11,1402,1013,2031,367.64,0.000%,3.78527,1.74,0.49,472.0
HTTP Request get by id 817,10,1350,841,2030,383.93,20.000%,3.92311,1.75,0.51,456.6
HTTP Request get by id 807,11,1380,933,2031,377.76,0.000%,3.80360,1.75,0.49,472.0
HTTP Request get by id 816,10,1368,848,2034,378.84,0.000%,3.82995,1.77,0.49,472.0
HTTP Request get by id 802,10,1326,904,1996,359.88,0.000%,3.64830,1.69,0.47,475.0
HTTP Request Add 810,10,1388,971,2034,380.00,0.000%,3.82995,1.77,1.30,474.0
HTTP Request get by id 812,10,1382,892,2067,393.47,50.000%,3.85060,1.63,0.50,433.5
HTTP Request get by id 813,10,1368,883,2067,396.29,60.000%,3.92311,1.63,0.51,426.2
HTTP Request Add 820,9,1285,957,1827,289.71,0.000%,3.36197,1.56,1.14,474.0
HTTP Request get by id 804,11,1389,910,2085,403.36,0.000%,3.78527,1.75,0.49,473.0
HTTP Request get by id 820,1,2017,2017,2017,0.00,0.000%,.49579,0.23,0.06,474.0
HTTP Request Add 802,1,2043,2043,2043,0.00,0.000%,.48948,0.23,0.17,475.0
HTTP Request get by id 811,10,1392,902,2087,402.00,40.000%,3.92619,1.69,0.51,441.8
HTTP Request get by id 809,11,1381,976,2087,384.24,0.000%,3.80360,1.75,0.49,472.0
HTTP  Request auth,1,2066,2066,2066,0.00,0.000%,.48403,0.23,0.09,482.0
HTTP Request Add 800,1,2044,2044,2044,0.00,0.000%,.48924,0.23,0.17,474.0
HTTP Request get by id 810,1,1050,1050,1050,0.00,0.000%,.95238,0.44,0.12,474.0
HTTP Request Pet show avalable,1,831,831,831,0.00,0.000%,1.20337,102.37,0.22,87110.0
TOTAL,223,1379,831,2093,387.68,13.901%,76.73778,63.74,11.45,850.5
